,ibns_20u,vgs_m1,name,type,time,OK
0,20.5149,0.7579687,tran_LayGtKfsTlVh,Lay,Mon Sep  1 15:09:05 2025,False
1,20.70621,0.685388,tran_LayGtKsfTlVh,Lay,Mon Sep  1 15:09:04 2025,True
2,20.684450000000002,0.6953347,tran_LayGtKffTlVh,Lay,Mon Sep  1 15:09:03 2025,True
3,20.53689,0.7480513,tran_LayGtKssTlVh,Lay,Mon Sep  1 15:09:03 2025,False
4,20.57162,0.6838284,tran_LayGtKfsThVh,Lay,Mon Sep  1 15:09:02 2025,True
5,20.75796,0.6037314,tran_LayGtKsfThVh,Lay,Mon Sep  1 15:09:01 2025,True
6,20.73925,0.61373,tran_LayGtKffThVh,Lay,Mon Sep  1 15:09:01 2025,True
7,20.5915,0.6738161,tran_LayGtKssThVh,Lay,Mon Sep  1 15:09:00 2025,True
8,20.5149,0.7579687,tran_LayGtKfsTlVl,Lay,Mon Sep  1 15:08:59 2025,False
9,20.70621,0.685388,tran_LayGtKsfTlVl,Lay,Mon Sep  1 15:08:59 2025,True
10,20.684450000000002,0.6953347,tran_LayGtKffTlVl,Lay,Mon Sep  1 15:08:58 2025,True
11,20.53689,0.7480513,tran_LayGtKssTlVl,Lay,Mon Sep  1 15:08:57 2025,False
12,20.57162,0.6838284,tran_LayGtKfsThVl,Lay,Mon Sep  1 15:08:56 2025,True
13,20.75796,0.6037314,tran_LayGtKsfThVl,Lay,Mon Sep  1 15:08:56 2025,True
14,20.73925,0.61373,tran_LayGtKffThVl,Lay,Mon Sep  1 15:08:55 2025,True
15,20.5915,0.6738161,tran_LayGtKssThVl,Lay,Mon Sep  1 15:08:54 2025,True
